,Unnamed: 0,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,0,jimmyfallon,jimmy fallon,15485441,1241180473344262144,/jimmyfallon/status/1241180473344262144,2020-03-21 01:50:59,1584755459.0,I miss you bud!!! Love you!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I miss you bud!!! Love you!!</p>",[],[],False,[],,113,14,14,True,True,1.241179327787647e+18,"[{'screen_name': 'jamespoyser', 'user_id': '15930882'}]"
1,1,jimmyfallon,jimmy fallon,15485441,1241079393683943424,/jimmyfallon/status/1241079393683943424,2020-03-20 19:09:20,1584731360.0,"That was very cool. We heard you!Thank you to all of our first responders, nurses, doctors, teachers and people who stock the shelves at our grocery stores. Thank you!! #CowbellChallenge","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">That was very cool. We heard you!Thank you to all of our first responders, nurses, doctors, teachers and people who stock the shelves at our grocery stores. Thank you!! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CowbellChallenge?src=hash""><s>#</s><b>CowbellChallenge</b></a></p>",[],['CowbellChallenge'],False,[],,2716,224,160,True,False,,[]
2,2,jimmyfallon,jimmy fallon,15485441,1240688758069968896,/jimmyfallon/status/1240688758069968896,2020-03-19 17:17:05,1584638225.0,I’m huge in the 3 year old demo. Please tell her thank you and knock knock - who’s there? - interrupting cow - interrup - MOOOOO!!https://twitter.com/tadandallie/status/1240641335826288640 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">I’m huge in the 3 year old demo. Please tell her thank you and knock knock - who’s there? - interrupting cow - interrup - MOOOOO!!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/tadandallie/status/1240641335826288640"" dir=""ltr"" href=""https://t.co/IIh9uIh4oj"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/tadandallie/status/1240641335826288640""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/tadandallie/st</span><span class=""invisible"">atus/1240641335826288640</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/tadandallie/status/1240641335826288640'],[],False,[],,2574,118,103,True,False,,[]
3,3,jimmyfallon,jimmy fallon,15485441,1240431406204977152,/jimmyfallon/status/1240431406204977152,2020-03-19 00:14:27,1584576867.0,"Fine, you can paint Daddy’s nails. #MyQuarantineInSixWords","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Fine, you can paint Daddy’s nails. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MyQuarantineInSixWords?src=hash""><s>#</s><b>MyQuarantineInSixWords</b></a></p>",[],['MyQuarantineInSixWords'],False,[],,8950,663,481,True,False,,[]
4,4,jimmyfallon,jimmy fallon,15485441,1240431255503724547,/jimmyfallon/status/1240431255503724547,2020-03-19 00:13:52,1584576832.0,"Hey guys. It's been a crazy week, so for our first Tonight Show: At Home Edition Hashtags, use six words to describe your time staying home and tag it with #MyQuarantineInSixWords. Could be on the show!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hey guys. It's been a crazy week, so for our first Tonight Show: At Home Edition Hashtags, use six words to describe your time staying home and tag it with <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MyQuarantineInSixWords?src=hash""><s>#</s><b>MyQuarantineInSixWords</b></a>. Could be on the show!</p>",[],['MyQuarantineInSixWords'],False,[],,6405,473,3461,True,False,,[]
5,5,jimmyfallon,jimmy fallon,15485441,1240417666281738244,/jimmyfallon/status/1240417666281738244,2020-03-18 23:19:52,1584573592.0,Thank you for doing this. And Dear Theodosia was such a BONUS!!!!! Whaaaaaa??!??https://twitter.com/Lin_Manuel/status/1240408633067876353 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Thank you for doing this. And Dear Theodosia was such a BONUS!!!!! Whaaaaaa??!??<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/Lin_Manuel/status/1240408633067876353"" dir=""ltr"" href=""https://t.co/rJoEug4YJi"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/Lin_Manuel/status/1240408633067876353""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/Lin_Manuel/sta</span><span class=""invisible"">tus/1240408633067876353</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/Lin_Manuel/status/1240408633067876353'],[],False,[],,7666,354,82,True,False,,[]
6,6,jimmyfallon,jimmy fallon,15485441,1240406231958925312,/jimmyfallon/status/1240406231958925312,2020-03-18 22:34:25,1584570865.0,Please call someone you know who doesn’t have the internet (like my dad) and tell them that we will be airing our Tonight Show At Home Edition tonight at 11:35 on NBC. Thank you @NBC!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Please call someone you know who doesn’t have the internet (like my dad) and tell them that we will be airing our Tonight Show At Home Edition tonight at 11:35 on NBC. Thank you <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""26585095"" dir=""ltr"" href=""/nbc""><s>@</s><b>NBC</b></a>!</p>",[],[],False,[],,4058,369,140,True,False,,[]
7,7,jimmyfallon,jimmy fallon,15485441,1240277086830542848,/jimmyfallon/status/1240277086830542848,2020-03-18 14:01:15,1584540075.0,Putting together a Quiplash game for one of my shows this week. @TheEllenShow you in? Who else wants to play?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Putting together a Quiplash game for one of my shows this week. <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15846407"" dir=""ltr"" href=""/TheEllenShow""><s>@</s><b>TheEllenShow</b></a> you in? Who else wants to play?</p>",[],[],False,[],,2575,141,233,True,False,,[]
8,8,jimmyfallon,jimmy fallon,15485441,1240070634970980353,/jimmyfallon/status/1240070634970980353,2020-03-18 00:20:53,1584490853.0,Love you @iHeartRadio. We need you now and are grateful.https://twitter.com/iHeartRadio/status/1240065882329677827 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Love you <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""46116615"" dir=""ltr"" href=""/iHeartRadio""><s>@</s><b>iHeartRadio</b></a>. We need you now and are grateful.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/iHeartRadio/status/1240065882329677827"" dir=""ltr"" href=""https://t.co/LA7erfUx3w"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/iHeartRadio/status/1240065882329677827""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/iHeartRadio/st</span><span class=""invisible"">atus/1240065882329677827</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/iHeartRadio/status/1240065882329677827'],[],False,[],,1160,101,47,True,False,,[]
9,9,jimmyfallon,jimmy fallon,15485441,1240044555749208064,/jimmyfallon/status/1240044555749208064,2020-03-17 22:37:15,1584484635.0,We've put together a fun little show for you and we're posting it on the @FallonTonight YouTube channel tonight!http://youtube.com/fallontonight ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We've put together a fun little show for you and we're posting it on the <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19777398"" dir=""ltr"" href=""/FallonTonight""><s>@</s><b>FallonTonight</b></a> YouTube channel tonight!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://youtube.com/fallontonight"" dir=""ltr"" href=""https://t.co/WANfkzp9yd"" rel=""nofollow noopener"" target=""_blank"" title=""http://youtube.com/fallontonight""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">youtube.com/fallontonight</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://youtube.com/fallontonight'],[],False,[],,1492,148,108,True,False,,[]
